Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
C11,CP_EIA-3216-18_Kemet-A,1,10uF,
C12,CP_EIA-3216-18_Kemet-A,1,22uF,
C2,0603,1,22nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D9",D_SOD-123,88,~,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0603,2,5.1k,
R4,0603,1,10k,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S31, S32, S33, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S48, S49, S5, S50, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S61, S62, S63, S65, S66, S67, S68, S69, S7, S70, S71, S72, S73, S74, S75, S77, S79, S8, S80, S82, S83, S84, S86, S87, S88, S9",SW_Cherry_MX_1.00u_PCB,79,~,
S30,SW_Cherry_MX_2.00u_PCB,1,~,
S34,SW_Cherry_MX_1.50u_PCB,1,~,
S47,SW_Cherry_MX_ISOEnter_PCB,1,~,
S51,SW_Cherry_MX_1.75u_PCB,1,~,
"S64, S78, S85",SW_Cherry_MX_1.25u_PCB,3,~,
S76,SW_Cherry_MX_2.75u_PCB,1,~,
S81,SW_Cherry_MX_6.25u_PCB,1,~,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
